DISTRICT,PROVINCE,ZONE,RIVER_BASIN,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,PEAK_24H_RAIN,NBRO_LANDSLIDE_ALERT,FLOOD_OCCURRENCE,HAZARD_INDEX
Vavuniya,Dry,Dry,Malwathu Oya,1995,142.2,72.5,10.0,168.2,15.0,143.1,60.9,30.3,57.0,137.5,130.4,206.3,1173.3,69.0,0,No Flood,0
Mullaitivu,Dry,Dry,Nay Aru,1995,133.7,99.5,73.7,89.3,92.2,49.1,63.6,49.9,15.0,110.4,210.5,261.5,1248.4,117.2,0,Minor Flood,1
Puttalam,Dry,Dry,Deduru Oya,1995,40.8,23.1,53.4,183.0,161.2,38.0,29.6,54.5,56.6,223.8,155.0,180.4,1199.3,96.7,0,Minor Flood,1
Colombo,Wet,Wet,Kelani Ganga,1996,38.5,12.9,166.5,245.3,166.0,219.0,247.3,129.1,263.8,289.4,235.1,70.0,2082.9,108.1,0,Minor Flood,1
Gampaha,Wet,Wet,Kelani Ganga,1996,74.2,24.7,80.8,183.3,272.7,190.5,138.0,170.2,216.4,210.9,240.9,89.0,1891.6,80.3,0,No Flood,0
Kalutara,Wet,Wet,Kalu Ganga,1996,87.7,23.1,110.3,296.3,271.0,425.5,264.0,254.3,289.7,294.8,417.5,130.1,2864.2,161.3,3,Major Flood,2
Ratnapura,Wet,Wet,Kalu Ganga,1996,69.7,48.3,158.0,238.9,423.8,362.7,294.0,234.6,339.1,343.7,447.3,160.6,3120.6,159.8,3,Major Flood,2
Kegalle,Wet,Wet,Kelani Ganga,1996,93.4,71.5,123.4,274.4,280.4,363.5,252.4,183.6,354.3,181.0,201.5,116.7,2496.2,152.1,3,Major Flood,2
Galle,Wet,Wet,Gin Ganga,1996,40.9,45.0,80.1,295.5,421.2,285.8,170.3,280.9,282.9,347.8,204.1,68.6,2523.2,122.0,2,Minor Flood,1
Matara,Wet,Wet,Nilwala Ganga,1996,65.3,38.7,158.1,221.7,306.1,206.7,167.7,231.6,320.5,349.9,235.8,76.3,2378.5,137.9,2,Minor Flood,1
Kandy,Wet,Wet,Mahaweli Ganga,1996,120.2,47.6,137.5,192.3,328.8,268.8,133.6,171.6,201.2,315.4,199.8,161.0,2277.8,99.7,1,Minor Flood,1
Nuwara Eliya,Wet,Wet,Mahaweli Ganga,1996,33.7,71.6,125.1,177.6,251.4,102.6,147.1,208.3,246.2,245.1,252.5,159.5,2020.6,81.8,1,No Flood,1
Badulla,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,1996,131.8,67.2,22.5,153.3,15.8,116.5,82.9,23.2,51.7,129.5,213.2,237.8,1245.4,93.6,1,Minor Flood,1
Matale,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,1996,106.5,55.9,56.5,128.0,25.1,88.5,81.0,10.0,86.4,187.6,241.6,243.3,1310.3,71.5,0,No Flood,0
Kurunegala,Intermediate,Intermediate,Deduru Oya,1996,69.6,35.8,109.9,200.3,104.9,91.9,84.2,10.0,36.9,291.2,342.3,100.2,1477.1,98.0,0,Minor Flood,1
Anuradhapura,Dry,Dry,Malwathu Oya,1996,129.9,40.6,64.2,156.4,15.0,49.2,104.8,10.0,15.0,90.5,150.8,166.6,993.0,55.8,0,No Flood,0
Polonnaruwa,Dry,Dry,Mahaweli Ganga,1996,110.6,48.8,121.0,166.0,59.4,126.8,45.7,10.0,125.4,193.2,113.6,187.6,1308.1,63.4,0,No Flood,0
Hambantota,Dry,Dry,Walawe Ganga,1996,111.8,16.5,10.0,155.3,78.6,74.3,38.0,40.2,40.5,107.3,138.1,99.0,909.6,51.0,0,No Flood,0
Monaragala,Dry/Intermediate,Dry/Intermediate,Menik Ganga,1996,109.8,43.7,82.0,135.3,62.6,22.5,28.4,80.0,88.4,110.3,196.5,206.5,1166.1,77.9,0,No Flood,0
Ampara,Dry,Dry,Gal Oya,1996,172.7,67.7,53.5,90.7,68.1,10.0,15.6,20.9,15.0,208.8,107.0,245.7,1075.5,88.9,0,Minor Flood,1
Batticaloa,Dry,Dry,Mundeni Aru,1996,160.2,99.0,48.1,121.9,103.1,10.0,67.8,10.0,61.7,255.4,30.0,234.7,1201.9,86.7,0,Minor Flood,1
Trincomalee,Dry,Dry,Mahaweli Ganga,1996,162.6,89.8,85.0,193.9,44.1,50.9,10.0,56.7,26.3,141.8,216.3,298.1,1375.7,110.0,0,Minor Flood,1
Jaffna,Dry,Dry,Peninsula / Coastal,1996,166.6,73.9,95.9,94.8,15.0,10.0,10.0,10.0,29.1,237.4,175.1,214.3,1132.1,82.0,0,No Flood,0
Kilinochchi,Dry,Dry,Kanakarayan Aru,1996,162.6,79.9,36.8,129.1,48.4,62.4,10.0,10.0,57.1,219.7,225.7,222.3,1264.0,93.5,0,Minor Flood,1
Mannar,Dry,Dry,Aruvi Aru,1996,106.2,48.4,81.2,70.3,38.5,10.0,45.7,35.5,80.0,98.1,127.3,134.1,875.3,55.7,0,No Flood,0
Vavuniya,Dry,Dry,Malwathu Oya,1996,116.0,59.3,92.3,156.6,125.9,88.1,10.0,38.9,15.0,114.0,174.0,238.9,1229.1,83.2,0,No Flood,0
Mullaitivu,Dry,Dry,Nay Aru,1996,165.7,81.9,71.8,72.6,185.2,40.4,32.1,53.9,55.7,158.3,111.5,255.9,1285.0,96.7,0,Minor Flood,1
Puttalam,Dry,Dry,Deduru Oya,1996,52.4,85.5,79.4,141.3,63.0,99.4,162.5,65.2,26.9,161.0,259.7,104.6,1300.9,72.9,0,Minor Flood,1
Colombo,Wet,Wet,Kelani Ganga,1997,65.6,5.0,99.8,223.3,343.7,195.1,121.2,162.6,164.0,234.9,273.9,20.0,1909.2,120.7,0,Minor Flood,1
Gampaha,Wet,Wet,Kelani Ganga,1997,42.9,41.0,158.7,236.8,226.3,158.6,286.9,159.2,200.3,234.6,278.4,68.5,2092.2,90.3,0,Minor Flood,1
Kalutara,Wet,Wet,Kalu Ganga,1997,121.8,9.8,169.0,130.1,259.8,277.2,218.4,256.9,331.1,275.8,317.7,115.9,2483.7,108.0,2,Minor Flood,1
Ratnapura,Wet,Wet,Kalu Ganga,1997,43.0,74.4,162.3,300.2,444.5,297.6,259.6,279.2,269.3,349.6,329.6,91.4,2900.7,179.0,3,Major Flood,2
Kegalle,Wet,Wet,Kelani Ganga,1997,67.8,39.5,173.3,189.8,320.0,270.3,178.6,303.2,233.9,234.2,404.1,20.0,2434.8,131.6,2,Minor Flood,1
Galle,Wet,Wet,Gin Ganga,1997,29.9,69.5,54.6,285.2,355.4,297.6,217.4,237.7,280.4,333.7,308.3,103.9,2573.5,125.2,2,Minor Flood,1
Matara,Wet,Wet,Nilwala Ganga,1997,111.4,45.4,91.5,187.8,240.3,285.3,150.9,227.6,361.9,294.8,252.7,115.8,2365.5,102.0,2,Minor Flood,1
Kandy,Wet,Wet,Mahaweli Ganga,1997,86.1,63.9,149.8,225.9,90.2,113.0,113.5,130.9,191.1,184.6,268.8,86.1,1703.9,86.5,1,No Flood,1
Nuwara Eliya,Wet,Wet,Mahaweli Ganga,1997,37.1,25.8,136.6,143.6,268.5,118.8,258.9,139.3,197.5,231.0,287.3,41.1,1885.6,83.0,1,No Flood,1
Badulla,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,1997,183.5,64.5,117.1,125.3,89.8,169.7,36.7,132.0,111.1,155.1,253.5,234.5,1672.7,82.7,1,Minor Flood,1
Matale,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,1997,71.0,86.8,39.6,138.0,172.5,101.9,113.5,95.1,153.8,244.7,174.1,210.6,1601.4,88.9,1,Minor Flood,1
Kurunegala,Intermediate,Intermediate,Deduru Oya,1997,81.5,43.5,97.6,115.1,68.9,170.7,92.6,113.8,111.6,206.3,291.1,84.3,1477.1,83.3,0,Minor Flood,1
Anuradhapura,Dry,Dry,Malwathu Oya,1997,71.1,69.0,30.7,166.2,34.5,51.0,54.0,10.0,15.0,204.2,215.7,179.4,1100.7,83.0,0,No Flood,0
Polonnaruwa,Dry,Dry,Mahaweli Ganga,1997,126.0,90.1,53.3,184.2,196.4,33.5,21.3,96.0,127.2,126.0,149.7,178.7,1382.3,66.8,0,No Flood,0
Hambantota,Dry,Dry,Walawe Ganga,1997,50.1,20.8,10.0,66.8,15.0,100.5,45.6,15.7,177.4,101.8,235.2,198.1,1036.9,86.3,0,Minor Flood,1
Monaragala,Dry/Intermediate,Dry/Intermediate,Menik Ganga,1997,90.3,48.4,53.6,112.0,37.0,125.8,117.0,25.8,20.3,193.5,150.0,196.9,1170.6,62.6,0,No Flood,0
Ampara,Dry,Dry,Gal Oya,1997,205.0,99.9,43.6,134.4,28.4,73.4,59.9,75.8,15.0,163.6,63.4,164.3,1126.7,66.4,0,No Flood,0
Batticaloa,Dry,Dry,Mundeni Aru,1997,171.8,131.8,56.8,143.2,40.8,96.3,143.2,10.0,15.0,227.9,230.2,360.8,1627.6,117.4,0,Minor Flood,1
Trincomalee,Dry,Dry,Mahaweli Ganga,1997,160.9,92.2,96.8,144.7,74.5,80.0,58.0,66.8,91.7,249.2,134.8,265.0,1514.6,113.9,0,Minor Flood,1
Jaffna,Dry,Dry,Peninsula / Coastal,1997,137.4,81.6,94.7,76.0,55.6,10.0,24.9,72.8,37.1,136.5,62.1,257.6,1046.2,99.9,0,Minor Flood,1
Kilinochchi,Dry,Dry,Kanakarayan Aru,1997,174.6,80.5,70.0,99.0,69.9,35.6,81.0,10.0,39.8,166.1,147.2,193.2,1166.7,77.3,0,No Flood,0
Mannar,Dry,Dry,Aruvi Aru,1997,118.4,49.9,90.9,41.3,15.0,48.4,94.1,19.0,15.0,238.7,47.5,69.0,847.3,73.5,0,No Flood,0
Vavuniya,Dry,Dry,Malwathu Oya,1997,140.1,88.6,95.6,167.5,28.4,10.0,24.3,52.4,15.0,241.2,217.7,182.4,1263.3,77.0,0,No Flood,0
Mullaitivu,Dry,Dry,Nay Aru,1997,114.7,110.0,59.5,159.7,58.2,56.0,52.2,42.2,63.1,221.4,172.1,262.6,1371.8,109.1,0,Minor Flood,1
Puttalam,Dry,Dry,Deduru Oya,1997,58.3,45.7,83.5,103.9,15.0,43.2,13.9,42.7,15.0,199.1,144.6,180.6,945.5,71.2,0,No Flood,0
Colombo,Wet,Wet,Kelani Ganga,1998,34.1,7.6,166.9,152.4,293.9,150.4,180.8,169.6,190.2,177.7,221.3,39.7,1784.6,131.6,0,Minor Flood,1
Gampaha,Wet,Wet,Kelani Ganga,1998,42.2,5.0,134.8,201.8,197.4,187.2,158.1,54.6,161.1,164.2,165.6,51.8,1523.9,76.0,0,No Flood,0
Kalutara,Wet,Wet,Kalu Ganga,1998,74.7,40.2,95.9,187.7,350.7,254.9,317.4,230.5,294.9,293.9,246.9,132.2,2520.0,146.8,2,Minor Flood,1
Ratnapura,Wet,Wet,Kalu Ganga,1998,94.5,38.1,178.9,189.1,452.9,317.6,216.8,206.3,271.1,292.1,334.0,67.0,2658.4,177.5,3,Major Flood,2
Kegalle,Wet,Wet,Kelani Ganga,1998,128.0,28.0,79.7,230.1,244.7,303.8,197.9,210.6,311.8,239.5,337.5,127.4,2439.0,118.9,2,Minor Flood,1
Galle,Wet,Wet,Gin Ganga,1998,23.2,5.0,108.4,230.8,398.9,239.9,258.8,191.2,236.7,285.5,303.9,20.0,2302.2,173.6,3,Major Flood,2
Matara,Wet,Wet,Nilwala Ganga,1998,63.3,5.0,137.0,208.8,300.1,209.3,209.4,167.0,144.8,215.8,236.0,130.9,2027.4,110.3,2,Minor Flood,1
Kandy,Wet,Wet,Mahaweli Ganga,1998,97.9,5.0,75.9,116.3,96.7,211.9,102.0,126.7,141.2,226.9,228.1,43.5,1472.1,76.9,1,No Flood,1
Nuwara Eliya,Wet,Wet,Mahaweli Ganga,1998,58.9,61.0,103.2,99.9,153.1,205.5,181.7,180.5,228.2,186.1,238.9,166.6,1863.7,102.2,2,Minor Flood,1
Badulla,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,1998,97.4,53.8,69.6,131.8,123.6,73.1,89.4,48.5,69.7,44.2,244.2,178.9,1224.1,87.2,1,Minor Flood,1
Matale,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,1998,47.5,114.3,42.7,143.9,38.1,115.5,79.1,35.1,131.4,147.4,212.5,109.7,1217.2,89.8,1,Minor Flood,1
Kurunegala,Intermediate,Intermediate,Deduru Oya,1998,65.3,41.5,149.9,142.1,128.3,155.1,131.8,122.7,127.7,109.2,306.2,38.4,1518.1,91.3,0,Minor Flood,1
Anuradhapura,Dry,Dry,Malwathu Oya,1998,117.4,46.2,64.1,157.4,77.5,56.2,10.0,10.0,88.2,157.3,185.3,175.4,1145.0,65.6,0,No Flood,0
Polonnaruwa,Dry,Dry,Mahaweli Ganga,1998,103.9,62.3,54.6,111.7,15.0,10.0,107.6,10.0,15.0,25.0,112.3,101.4,728.9,35.8,0,No Flood,0
Hambantota,Dry,Dry,Walawe Ganga,1998,69.6,22.3,86.5,161.4,15.0,23.5,48.8,87.3,31.1,121.9,63.3,25.1,755.9,56.1,0,No Flood,0
Monaragala,Dry/Intermediate,Dry/Intermediate,Menik Ganga,1998,117.9,100.1,104.3,139.2,101.1,100.4,80.3,53.6,59.1,139.8,112.5,129.5,1237.7,50.7,0,No Flood,0
Ampara,Dry,Dry,Gal Oya,1998,105.2,50.8,89.0,86.4,15.0,58.3,98.9,59.1,15.0,41.5,145.1,189.5,953.8,75.0,0,No Flood,0
Batticaloa,Dry,Dry,Mundeni Aru,1998,152.6,56.6,44.8,129.5,15.0,54.1,24.8,45.6,41.1,225.4,169.7,211.8,1171.0,99.6,0,Minor Flood,1
Trincomalee,Dry,Dry,Mahaweli Ganga,1998,164.8,82.5,51.3,127.2,73.6,10.0,82.5,16.2,22.1,181.8,202.4,174.3,1188.6,66.1,0,No Flood,0
Jaffna,Dry,Dry,Peninsula / Coastal,1998,115.7,93.3,30.6,105.6,15.0,132.9,10.0,31.2,55.6,141.1,118.7,185.0,1034.7,52.5,0,No Flood,0
Kilinochchi,Dry,Dry,Kanakarayan Aru,1998,149.8,98.7,10.0,110.7,120.3,10.0,37.2,21.1,47.6,76.7,45.1,89.8,817.1,60.2,0,No Flood,0
Mannar,Dry,Dry,Aruvi Aru,1998,114.2,88.1,36.5,80.7,15.0,10.0,10.0,10.0,25.6,63.2,138.3,77.8,669.4,59.4,0,No Flood,0
Vavuniya,Dry,Dry,Malwathu Oya,1998,119.3,102.2,18.7,50.7,78.0,129.4,13.9,92.6,34.7,82.2,74.1,199.0,994.6,73.8,0,No Flood,0
Mullaitivu,Dry,Dry,Nay Aru,1998,124.1,52.4,31.8,149.4,98.2,59.3,10.0,10.0,87.6,131.6,289.2,217.1,1260.7,85.4,0,Minor Flood,1
Puttalam,Dry,Dry,Deduru Oya,1998,59.9,47.8,77.9,140.0,15.0,10.0,10.0,28.0,52.2,186.1,106.4,33.6,767.0,66.2,0,No Flood,0
Colombo,Wet,Wet,Kelani Ganga,1999,70.0,27.9,125.8,219.6,273.5,284.9,189.6,238.5,272.6,306.4,271.2,64.5,2344.4,106.8,0,Minor Flood,1
Gampaha,Wet,Wet,Kelani Ganga,1999,67.4,12.0,115.3,212.2,333.9,260.9,188.6,206.6,290.8,295.1,295.0,20.0,2297.9,116.1,0,Minor Flood,1
Kalutara,Wet,Wet,Kalu Ganga,1999,54.5,15.6,156.4,264.4,318.1,343.8,170.9,287.6,365.2,275.1,398.2,35.1,2684.9,155.5,3,Major Flood,2
Ratnapura,Wet,Wet,Kalu Ganga,1999,73.2,73.4,153.3,262.9,408.0,377.4,296.5,294.6,374.3,340.3,411.1,181.6,3246.7,136.5,2,Minor Flood,1
Kegalle,Wet,Wet,Kelani Ganga,1999,81.2,83.9,106.1,246.8,390.8,401.1,258.5,211.0,388.6,295.0,410.3,145.0,3018.1,115.7,2,Minor Flood,1
Galle,Wet,Wet,Gin Ganga,1999,54.3,5.0,113.4,256.6,291.2,344.4,267.5,269.0,318.9,238.2,411.4,98.9,2668.7,122.0,2,Minor Flood,1
Matara,Wet,Wet,Nilwala Ganga,1999,34.0,34.6,157.2,192.3,214.0,288.5,209.2,136.8,304.2,291.5,388.2,43.2,2293.6,137.6,2,Minor Flood,1
Kandy,Wet,Wet,Mahaweli Ganga,1999,105.3,39.3,175.4,181.3,266.9,211.2,215.6,206.4,184.8,207.7,314.5,103.5,2211.7,115.4,2,Minor Flood,1
Nuwara Eliya,Wet,Wet,Mahaweli Ganga,1999,77.7,48.1,114.0,180.2,211.3,293.9,139.0,114.8,247.7,313.7,245.4,107.9,2093.7,93.1,1,Minor Flood,1
Badulla,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,1999,162.1,88.0,121.5,139.8,16.6,165.0,57.4,55.9,150.4,242.7,265.1,314.3,1778.8,90.2,1,Minor Flood,1
Matale,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,1999,163.9,106.9,110.1,186.7,69.2,124.3,110.1,69.5,69.5,123.7,112.7,101.0,1347.8,71.7,0,No Flood,0
Kurunegala,Intermediate,Intermediate,Deduru Oya,1999,73.0,38.1,108.4,216.9,199.9,101.7,97.1,107.2,109.7,323.2,287.0,158.9,1821.1,133.2,0,Major Flood,2
Anuradhapura,Dry,Dry,Malwathu Oya,1999,91.8,75.5,78.5,128.8,49.9,44.8,75.8,59.1,47.3,67.5,208.8,219.3,1147.0,81.6,0,No Flood,0
Polonnaruwa,Dry,Dry,Mahaweli Ganga,1999,143.4,128.4,93.3,71.3,110.1,76.3,103.8,68.9,46.5,101.0,182.7,171.2,1296.7,76.0,0,No Flood,0
Hambantota,Dry,Dry,Walawe Ganga,1999,89.9,18.3,90.3,185.4,52.5,18.1,71.4,112.2,15.0,90.6,147.1,88.7,979.5,79.5,0,No Flood,0
Monaragala,Dry/Intermediate,Dry/Intermediate,Menik Ganga,1999,160.9,57.4,86.9,186.1,15.0,10.0,10.0,104.5,41.1,336.7,169.4,192.4,1370.3,127.5,0,Minor Flood,1
Ampara,Dry,Dry,Gal Oya,1999,208.4,127.7,125.2,180.0,18.1,90.5,38.9,88.5,101.6,135.5,257.9,285.9,1658.2,105.2,0,Minor Flood,1
Batticaloa,Dry,Dry,Mundeni Aru,1999,162.8,102.4,58.6,74.2,41.4,34.8,100.8,55.2,15.0,294.4,285.4,326.7,1551.8,98.1,0,Minor Flood,1
Trincomalee,Dry,Dry,Mahaweli Ganga,1999,200.4,89.3,112.3,64.2,15.0,66.5,10.0,10.0,19.4,220.7,73.0,275.6,1156.5,121.3,0,Minor Flood,1
Jaffna,Dry,Dry,Peninsula / Coastal,1999,145.3,55.3,80.3,99.2,15.0,10.0,24.9,94.9,113.6,120.8,127.7,267.7,1154.7,102.7,0,Minor Flood,1
Kilinochchi,Dry,Dry,Kanakarayan Aru,1999,162.0,73.0,79.3,132.4,15.0,10.0,45.4,18.1,15.0,101.6,156.9,315.0,1123.7,129.8,0,Minor Flood,1
Mannar,Dry,Dry,Aruvi Aru,1999,127.0,55.9,10.0,148.7,81.3,18.6,29.2,44.6,15.0,107.8,208.6,135.7,982.6,65.4,0,No Flood,0
Vavuniya,Dry,Dry,Malwathu Oya,1999,104.0,124.6,71.1,141.5,15.0,25.1,13.5,10.0,69.8,130.0,242.8,346.8,1294.3,103.9,0,Minor Flood,1
Mullaitivu,Dry,Dry,Nay Aru,1999,172.6,103.8,74.0,112.9,15.0,41.1,10.0,10.0,56.2,211.2,30.0,201.4,1038.1,82.5,0,No Flood,0
Puttalam,Dry,Dry,Deduru Oya,1999,75.4,53.3,122.0,151.1,35.3,62.5,24.0,72.1,25.6,152.5,281.6,106.6,1162.0,103.7,0,Minor Flood,1
Colombo,Wet,Wet,Kelani Ganga,2000,32.9,33.5,110.6,186.5,249.8,186.9,182.7,199.3,160.1,230.8,327.5,90.5,1991.2,112.9,0,Minor Flood,1
Gampaha,Wet,Wet,Kelani Ganga,2000,49.0,5.0,125.4,155.0,342.1,256.7,142.0,199.9,192.6,274.8,283.1,29.4,2055.1,141.9,0,Minor Flood,1
Kalutara,Wet,Wet,Kalu Ganga,2000,75.4,21.7,112.7,243.5,331.6,295.7,270.6,266.2,290.1,206.1,262.5,95.0,2471.2,142.6,2,Minor Flood,1
Ratnapura,Wet,Wet,Kalu Ganga,2000,67.7,65.5,124.8,254.3,316.5,356.9,260.0,285.5,372.5,446.1,364.8,120.7,3035.4,130.9,2,Minor Flood,1
Kegalle,Wet,Wet,Kelani Ganga,2000,38.6,44.5,125.6,230.2,449.1,318.1,226.8,142.2,272.2,346.8,296.0,20.0,2510.1,189.0,3,Major Flood,2
Galle,Wet,Wet,Gin Ganga,2000,33.7,22.5,136.1,227.8,310.4,268.2,211.6,173.3,348.2,234.2,364.3,167.4,2497.9,123.8,2,Minor Flood,1
Matara,Wet,Wet,Nilwala Ganga,2000,51.9,54.8,105.5,199.3,323.4,226.1,266.2,149.9,227.8,270.0,235.3,123.7,2234.0,125.9,2,Minor Flood,1
Kandy,Wet,Wet,Mahaweli Ganga,2000,78.6,80.7,64.6,148.6,221.0,176.7,150.0,142.6,188.3,282.8,269.9,105.4,1909.1,111.4,2,Minor Flood,1
Nuwara Eliya,Wet,Wet,Mahaweli Ganga,2000,47.1,42.6,40.2,78.5,230.3,250.7,168.0,141.0,173.3,152.2,220.4,132.0,1676.3,106.8,2,Minor Flood,1
Badulla,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,2000,126.1,57.7,100.4,170.0,31.0,131.2,37.4,88.7,90.1,289.2,186.8,158.7,1467.3,81.6,1,Minor Flood,1
Matale,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,2000,61.9,54.7,26.8,170.5,166.0,47.7,92.0,102.6,129.9,184.3,240.6,137.1,1414.2,68.8,0,No Flood,0
Kurunegala,Intermediate,Intermediate,Deduru Oya,2000,68.9,60.5,57.0,167.0,185.3,136.9,98.0,122.1,15.0,234.5,175.6,20.0,1340.7,96.5,0,Minor Flood,1
Anuradhapura,Dry,Dry,Malwathu Oya,2000,122.8,60.5,121.9,64.5,120.8,129.4,10.0,62.1,15.0,136.0,134.3,36.4,1013.8,53.2,0,No Flood,0
Polonnaruwa,Dry,Dry,Mahaweli Ganga,2000,120.5,76.3,66.5,189.0,18.1,58.7,10.0,10.0,15.1,146.9,139.8,148.0,998.9,84.1,0,No Flood,0
Hambantota,Dry,Dry,Walawe Ganga,2000,65.8,5.0,72.3,59.4,17.6,29.4,41.1,46.4,112.9,99.5,182.2,247.4,979.2,81.6,0,No Flood,0
Monaragala,Dry/Intermediate,Dry/Intermediate,Menik Ganga,2000,96.6,69.3,74.9,97.1,52.2,23.1,98.7,47.0,153.8,152.9,130.1,80.9,1076.7,54.1,0,No Flood,0
Ampara,Dry,Dry,Gal Oya,2000,159.2,73.3,88.4,182.4,102.8,14.8,40.1,10.0,15.0,169.7,113.7,104.8,1074.1,62.5,0,No Flood,0
Batticaloa,Dry,Dry,Mundeni Aru,2000,158.3,71.1,64.6,130.3,26.1,10.0,35.5,43.3,15.0,241.2,169.7,255.4,1220.5,99.1,0,Minor Flood,1
